Previous qualification (grade)_bin,Admission grade_bin,Unemployment rate_bin,Inflation rate_bin,GDP_bin,Curricular units 2nd sem (grade)_bin,Curricular units 1st sem (grade)_bin,Age at enrollment_bin,Curricular units 1st sem (evaluations)_bin,Marital Status,Application mode,Application order,Course,Daytime/evening attendance,Previous qualification,Nacionality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (approved),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (without evaluations),Target
1,1,2,1,3,3,2,0,0,1,1,5,9500,1,1,1,37,37,7,7,1,0,0,1,0,1,0,0,7,7,0,0,8,9,8,0,Graduate
1,1,2,3,1,2,3,0,0,1,1,1,9085,1,1,1,1,2,9,1,1,0,0,1,0,0,0,0,5,5,2,0,5,7,5,0,Enrolled
0,0,2,0,2,0,2,0,0,1,1,4,9500,1,1,1,3,3,2,2,1,0,1,0,0,0,0,0,7,4,0,0,7,7,0,0,Dropout
1,1,0,1,3,2,2,0,1,1,53,1,9085,1,42,1,38,38,9,9,0,0,0,1,0,0,0,7,10,8,0,4,9,14,5,0,Dropout
1,0,3,0,1,0,0,0,0,1,1,4,171,1,1,1,1,1,9,10,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Graduate
1,0,0,0,0,0,0,1,0,2,39,1,8014,0,1,1,37,37,6,5,1,0,0,1,0,0,0,0,6,0,0,0,6,0,0,0,Dropout
1,2,3,3,0,3,3,1,1,4,39,1,9003,1,12,1,37,37,9,6,0,0,0,1,0,0,0,13,18,18,0,10,13,14,13,1,Graduate
1,0,1,1,3,0,0,0,0,1,18,1,9853,1,1,1,19,19,9,7,1,0,0,1,0,0,0,0,6,0,0,0,6,0,0,0,Dropout
1,1,1,1,3,2,2,0,1,1,51,1,9070,1,1,1,3,1,2,8,0,0,1,1,0,0,0,4,10,10,0,5,11,11,11,0,Graduate
1,0,3,0,1,0,0,0,0,1,1,2,9238,1,1,1,37,38,4,7,1,0,0,1,0,0,0,0,6,0,0,0,6,0,0,0,Dropout
0,0,3,3,0,2,3,0,1,1,1,1,9085,1,1,1,1,1,4,4,1,0,0,1,0,0,0,0,6,4,0,0,6,17,4,0,Dropout
0,0,2,1,3,2,2,0,0,1,1,5,9500,1,1,1,3,4,4,3,1,0,0,1,0,0,0,2,7,6,0,0,7,10,5,0,Dropout
1,0,3,0,1,2,2,0,1,1,17,2,9853,1,1,1,19,1,9,3,1,0,0,1,0,0,0,0,7,6,0,0,7,10,3,0,Enrolled
1,1,2,0,2,3,2,0,0,1,1,1,9238,1,1,1,37,37,6,7,1,0,0,1,0,0,0,0,6,6,0,0,6,6,6,0,Graduate
1,0,0,1,3,2,2,0,0,1,17,2,9147,1,1,1,1,38,4,7,1,0,0,1,0,1,0,0,5,3,0,0,5,11,3,0,Enrolled
1,1,1,1,3,2,2,0,0,1,1,1,9085,1,1,1,19,19,9,9,1,0,0,1,0,0,0,0,5,5,0,0,5,5,5,0,Graduate
2,2,1,1,3,2,2,0,0,1,1,3,9773,1,1,1,1,38,4,7,1,0,0,1,0,0,0,0,6,6,0,0,6,7,6,0,Graduate
1,1,0,3,2,2,2,0,0,1,17,2,9500,1,1,1,37,37,9,9,1,0,0,1,0,0,0,0,7,6,1,0,7,7,6,1,Dropout
1,0,2,0,2,2,2,0,0,1,43,1,9500,1,1,1,38,38,9,5,0,0,0,1,0,0,0,0,7,6,0,0,7,7,7,0,Enrolled
2,1,0,3,2,2,2,0,1,1,17,1,9238,1,1,1,19,37,9,7,1,0,0,1,0,1,0,0,6,2,0,0,6,12,4,0,Enrolled
1,0,2,1,3,2,2,0,0,1,17,1,9147,1,1,1,19,19,3,3,0,0,0,1,0,0,0,0,5,3,0,0,5,10,3,0,Enrolled
1,1,0,0,0,2,2,0,1,1,1,2,9085,1,1,1,37,38,9,7,0,0,0,1,0,0,0,0,5,5,2,0,5,6,5,0,Graduate
1,1,1,1,3,3,2,0,0,1,1,1,9147,1,1,1,2,19,4,5,0,0,0,1,0,0,0,0,5,5,0,0,5,5,5,0,Graduate
1,1,0,0,0,2,2,0,1,1,17,1,9254,1,1,1,1,1,4,5,1,0,0,1,0,0,0,0,6,3,0,0,6,12,2,0,Dropout
1,0,3,0,1,2,2,0,0,1,1,2,9147,1,1,1,19,19,9,7,1,0,0,1,0,0,0,0,5,5,0,0,5,9,4,2,Graduate
1,1,1,1,3,0,0,0,0,1,1,1,171,1,1,1,3,19,2,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Dropout
1,1,0,0,0,3,2,0,0,1,1,1,9670,1,1,1,38,38,9,9,0,0,0,1,0,1,0,0,5,5,0,0,5,5,5,0,Graduate
1,1,3,3,0,2,3,0,1,1,1,1,9085,1,1,1,19,38,4,7,1,0,0,1,0,0,0,0,6,6,0,0,6,13,6,0,Graduate
1,0,2,0,2,0,2,0,1,1,17,6,9556,1,1,1,1,1,4,5,1,0,0,1,0,0,0,0,7,5,0,0,7,0,0,0,Dropout
2,2,2,1,3,2,3,0,0,1,44,1,9085,1,39,1,37,37,9,9,1,0,0,1,0,0,0,1,6,6,0,1,6,17,5,0,Graduate
2,2,0,0,0,2,2,0,0,1,1,1,9853,1,1,1,19,38,9,3,1,0,0,1,0,1,0,0,6,5,0,0,6,7,5,0,Enrolled
1,1,2,1,3,2,2,0,0,1,17,3,9238,1,1,1,1,39,5,3,1,0,0,1,0,0,0,0,6,6,0,0,6,6,6,0,Graduate
1,1,2,1,3,3,2,0,0,1,17,6,9500,1,1,1,1,37,8,9,1,0,0,1,0,0,0,0,7,7,0,0,8,9,8,0,Graduate
1,1,2,0,2,2,2,0,0,1,1,3,9500,1,1,1,19,19,5,8,1,0,0,1,0,1,0,0,7,7,0,0,8,9,7,0,Dropout
1,1,0,3,2,2,2,0,0,1,17,2,9070,1,1,1,37,37,9,9,1,0,0,1,0,0,0,0,6,6,0,0,6,6,6,0,Graduate
1,1,0,1,3,3,2,0,0,1,1,4,9147,1,1,1,1,19,4,8,1,0,0,1,0,0,0,0,5,5,0,0,5,5,5,0,Graduate
2,1,2,0,2,0,2,0,0,1,17,6,9500,1,1,1,1,19,3,3,1,0,0,1,0,0,0,0,7,5,0,0,7,7,0,0,Dropout
1,1,0,3,2,2,2,0,1,1,43,1,9238,1,1,1,38,37,9,7,0,0,0,1,0,0,0,5,9,9,0,2,7,8,7,0,Graduate
0,0,2,1,3,2,2,0,0,1,1,1,9670,1,1,1,1,38,3,9,0,0,1,0,0,1,0,0,6,5,0,0,6,9,4,0,Dropout
1,0,0,3,2,2,2,0,0,1,17,1,9670,1,1,1,19,19,5,5,1,0,0,1,0,0,0,0,5,4,0,0,5,5,4,0,Graduate
2,2,0,1,3,3,3,0,0,1,1,1,9773,1,1,1,1,1,141,175,0,0,1,1,0,1,0,0,6,6,0,0,6,6,6,0,Graduate
0,0,1,1,3,2,2,0,0,1,1,2,9500,1,1,1,19,1,4,7,0,0,0,1,0,1,0,0,7,5,0,0,8,9,7,0,Enrolled
3,3,2,0,2,3,3,0,0,1,18,1,9500,1,1,1,19,1,4,8,0,0,0,1,0,0,0,0,7,7,0,0,8,8,8,0,Graduate
1,1,0,3,2,2,2,0,0,1,1,5,9500,1,1,1,37,37,9,9,1,0,0,1,0,0,0,0,7,6,0,0,7,7,6,0,Graduate
0,0,2,1,3,2,2,0,0,1,1,6,9773,1,1,1,19,1,4,4,1,0,0,1,0,1,0,0,6,6,0,0,6,10,5,0,Graduate
0,0,0,1,3,0,0,0,0,1,51,1,9147,1,1,1,3,1,3,3,1,0,1,0,0,0,0,0,5,0,0,0,5,7,0,0,Enrolled
1,1,2,1,3,2,2,0,0,1,1,3,9238,1,1,1,1,12,9,10,1,0,0,1,0,1,0,0,6,6,0,0,6,6,6,0,Graduate
1,1,3,3,0,2,2,0,0,1,1,3,9500,1,1,1,19,19,9,7,1,0,0,1,0,1,0,0,7,7,0,0,8,11,8,0,Graduate
1,1,0,0,0,2,2,0,0,1,17,5,9853,1,1,1,37,38,5,6,1,0,0,1,0,1,0,0,6,5,0,0,6,9,5,0,Graduate
1,1,0,3,2,0,0,0,0,1,1,4,9254,1,1,1,12,19,9,9,1,0,0,1,0,0,0,0,5,0,0,0,5,10,0,0,Dropout
0,0,0,3,2,2,2,0,0,1,17,1,9254,1,1,1,1,37,9,10,1,0,0,1,0,0,0,0,6,5,0,0,6,12,3,0,Dropout
1,1,2,0,2,3,2,0,0,1,1,1,9147,1,1,1,3,19,2,10,0,0,0,1,0,0,0,0,5,5,0,0,5,9,5,0,Graduate
1,1,1,1,3,3,2,0,0,1,1,1,9500,1,1,1,1,19,9,9,0,0,0,1,0,1,0,0,7,6,0,0,8,9,7,0,Graduate
1,1,0,0,0,0,0,0,0,1,1,1,171,1,1,1,3,37,2,8,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Enrolled
1,1,0,3,2,2,2,0,0,1,1,1,9085,1,1,1,1,38,4,7,0,0,0,1,0,0,0,0,5,5,0,0,5,6,5,0,Graduate
1,1,0,0,0,2,2,0,0,1,17,1,9853,1,1,1,38,38,7,6,1,0,0,1,0,0,0,0,6,3,0,0,6,10,5,0,Enrolled
1,1,0,3,2,2,2,0,0,1,1,1,9853,1,1,1,37,37,9,9,1,0,0,1,0,0,0,0,6,6,0,0,6,8,5,0,Graduate
0,0,0,0,0,2,2,0,0,1,43,1,9853,1,1,1,3,37,2,5,1,0,0,1,0,0,0,0,6,3,0,0,6,12,3,0,Dropout
1,1,0,3,2,2,2,0,0,1,1,1,9853,1,1,1,38,37,6,6,0,0,0,1,0,0,0,0,6,6,0,0,6,10,4,0,Dropout
1,1,2,1,3,2,2,0,0,1,1,1,9147,1,1,1,38,38,9,9,0,0,0,1,0,1,0,0,5,5,0,0,5,5,5,0,Graduate
1,1,2,3,1,2,2,0,0,1,17,2,9238,1,1,1,1,37,7,9,1,0,0,1,0,1,0,0,6,6,0,0,6,7,6,0,Graduate
1,1,0,0,0,2,2,0,0,1,1,3,9238,1,1,1,19,1,9,10,1,0,0,1,0,0,0,0,6,4,0,0,6,9,6,0,Graduate
1,1,1,1,3,2,2,0,0,1,39,1,8014,0,1,1,1,19,6,8,0,0,0,1,0,1,0,0,6,5,0,0,6,9,5,0,Graduate
1,0,1,1,3,2,2,0,0,1,1,1,9670,1,1,1,19,1,4,1,0,0,0,1,0,0,0,0,6,6,0,0,6,9,6,0,Dropout
1,1,3,3,0,2,2,0,0,1,1,1,9500,1,1,1,19,37,9,7,1,0,0,1,0,1,0,0,7,7,0,0,8,12,7,0,Graduate
1,1,3,3,0,3,3,0,0,1,1,2,9500,1,1,1,19,19,9,9,1,0,0,1,0,0,0,0,7,7,0,0,8,8,8,0,Graduate
1,1,1,1,3,2,2,0,1,1,17,5,9853,1,1,1,12,12,4,4,1,0,0,1,0,0,0,0,6,4,0,0,6,10,3,0,Dropout
1,1,0,3,2,3,3,0,0,1,17,2,9670,1,1,1,1,19,5,4,0,0,0,1,0,0,0,0,5,5,0,0,5,5,5,0,Graduate
1,1,3,3,0,2,2,0,0,1,17,1,9773,1,1,1,19,37,7,7,0,0,0,1,0,1,0,0,6,6,0,0,6,7,6,0,Graduate
3,3,0,1,3,0,0,2,0,3,39,1,9003,1,1,1,1,37,6,6,0,0,1,1,0,0,0,0,1,0,0,0,6,0,0,0,Enrolled
1,1,2,0,2,2,2,0,0,1,17,3,9238,1,1,1,19,19,7,8,0,0,0,1,0,0,0,0,6,5,0,0,6,12,4,0,Graduate
1,1,2,3,1,3,3,0,0,1,39,1,9500,1,3,1,2,2,1,1,0,0,0,1,0,0,0,1,8,7,0,1,8,8,7,0,Graduate
